"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H2-02";"plan lanc";"hl";2;;;
"H2-02";"plan medi";"hl";4;;;
"H2-02";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H2-02";"pote erec";"hl";3;;;
"H2-02";"prun vulg";"hl";3;;;
"H2-02";"ranu acri acri";"hl";2;;;
"H2-02";"ranu nemo";"hl";3;;;
"H2-02";"rume acet osa";"hl";3;;;" | Changed rume acet To rume acet osa 2012-11-27 18:47:02"
"H2-02";"scab luci luci";"hl";3;;;
"H2-02";"sile nuta nuta";"hl";1;;;" | Changed sile nuta To sile nuta nuta 2012-11-27 18:47:02"
"H2-02";"thes alpi";"hl";1;;;
"H2-02";"thym prae poly";"hl";2;;;
"H2-02";"trif prat prat";"hl";3;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H2-03";"acer pseu";"hl";1;;;
"H2-03";"anth ramo";"hl";3;;;
"H2-03";"anth vuln alpi";"hl";5;;;" | Changed anth vuln alpe To anth vuln alpi 2012-11-27 18:47:00"
"H2-03";"briz medi";"hl";3;;;
"H2-03";"buph sali";"hl";2;;;
"H2-03";"card defl viri";"hl";3;;;" | Changed card defl defl To card defl viri 2012-11-27 18:47:01"
"H2-03";"care cary";"hl";3;;;
"H2-03";"care flac";"hl";3;;;
"H2-03";"care pani";"hl";4;;;
"H2-03";"carl acau acau";"hl";1;;;
"H2-03";"cent jace jace";"hl";1;;;
"H2-03";"clin alpi alpi";"hl";3;;;" | Changed cala alpi To clin alpi alpi 2012-11-27 18:47:01"
"H2-03";"dact glom glom";"hl";3;;;" | Changed dact glom To dact glom glom 2012-11-27 18:46:56"
"H2-03";"euph cypa";"hl";1;;;
"H2-03";"fest prat prat";"hl";3;;;
"H2-03";"gali anis";"hl";2;;;
"H2-03";"gent vern vern";"hl";3;;;
"H2-03";"leon hisp hyos";"hl";3;;;
"H2-03";"lotu corn corn";"hl";3;;;
"H2-03";"neot ustu";"hl";1;;;" | Changed orch ustu To neot ustu 2012-11-27 18:47:02"
"H2-03";"pimp majo slat";"hl";3;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H2-03";"plan lanc";"hl";3;;;
"H2-03";"plan medi";"hl";3;;;
"H2-03";"pote erec";"hl";3;;;
"H2-03";"prim fari";"hl";1;;;
"H2-03";"prun vulg";"hl";2;;;
"H2-03";"ranu nemo";"hl";3;;;
"H2-03";"rhin mino";"hl";3;;;
"H2-03";"scab luci luci";"hl";2;;;
"H2-03";"sesl caer";"hl";3;;;" | Changed sesl albi To sesl caer 2012-11-27 18:46:58"
"H2-03";"tara sect alpi";"hl";1;;;
"H2-03";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H2-04";"acer pseu";"hl";2;;;
"H2-04";"achi mill";"hl";2;;;
"H2-04";"anth vuln alpi";"hl";4;;;" | Changed anth vuln alpe To anth vuln alpi 2012-11-27 18:47:00"
"H2-04";"arab sagi";"hl";2;"2009-0075";;
"H2-04";"care cary";"hl";2;;;
"H2-04";"care flac";"hl";3;;;
"H2-04";"cent jace jace";"hl";3;;;
"H2-04";"clin alpi alpi";"hl";7;;;" | Changed cala alpi To clin alpi alpi 2012-11-27 18:47:01"
"H2-04";"cyno cris";"hl";3;;;
"H2-04";"dact glom glom";"hl";3;;;" | Changed dact glom To dact glom glom 2012-11-27 18:46:56"
"H2-04";"euph cypa";"hl";4;;;
"H2-04";"euph offi rost";"hl";3;;;" | Changed euph rost mont To euph offi rost 2012-11-27 18:47:02"
"H2-04";"fest prat prat";"hl";3;;;
"H2-04";"fest rubr rubr";"hl";4;;;
"H2-04";"gali anis";"hl";4;;;
"H2-04";"gent vern vern";"hl";4;;;
"H2-04";"hipp como";"hl";3;;;
"H2-04";"leon hisp hyos";"hl";4;;;
"H2-04";"linu cath";"hl";3;;;" | Changed linu cart To linu cath 2012-11-27 18:47:01"
"H2-04";"medi lupu";"hl";3;;;
"H2-04";"phle prat";"hl";3;;;" | Changed phle prat prat To phle prat 2012-11-27 18:47:00"
"H2-04";"pimp majo slat";"hl";2;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H2-04";"plan lanc";"hl";3;;;
"H2-04";"plan medi";"hl";2;;;
